Questions,reponses
Conjugaison : Conjugue le verbe correctement : Je (aller) manger à la cantine.,vais
Grammaire : Quel est la nature du mot 'Bouteille' ?,nom commun
Conjugaison : Quel pronom personnel faut-il mettre dans la phrase :  ... joues au ballon.,tu
Conjugaison : donne les terminaison du 1er groupe au present de l indicatif separe par des espaces en respectant l'ordre ! (ex: ais ais...),e es e ons ez ent
Grammaire : complète la suite des conjonctions de coordinations : 'mais ou et donc or ni ...,car
Grammaire : complète la suite des conjonctions de subordination : 'A dans par pour en vers avec deux cent sous sur ...,lui
Grammaire : Parmi ces mots lequel est un adverbe : 'comment' / 'ou' / 'car' ?,comment
Grammaire : que veut dire le terme 'COD' ?,complement d'objet direct
Vocabulaire : quel est le feminin du mot 'gentil' ?,gentille
Conjugaison : quel est la 2e personne du pluriel ?,vous
